History length: 248
form=old sensitivity=0 deltaMean=0.028 meanExcluded=6.547
form=old sensitivity=0.05 deltaMean=0.024 meanExcluded=6.551
form=old sensitivity=0.1 deltaMean=0.004 meanExcluded=6.571
form=old sensitivity=0.15 deltaMean=0.004 meanExcluded=6.571
form=old sensitivity=0.2 deltaMean=-0.000 meanExcluded=6.575
form=old sensitivity=0.25 deltaMean=-0.004 meanExcluded=6.579
form=old sensitivity=0.3 deltaMean=-0.016 meanExcluded=6.591
form=old sensitivity=0.35 deltaMean=-0.020 meanExcluded=6.595
form=old sensitivity=0.4 deltaMean=-0.029 meanExcluded=6.603
form=old sensitivity=0.45 deltaMean=-0.016 meanExcluded=6.591
form=old sensitivity=0.5 deltaMean=0.024 meanExcluded=6.551
form=old sensitivity=0.55 deltaMean=0.024 meanExcluded=6.551
form=old sensitivity=0.6 deltaMean=0.032 meanExcluded=6.543
form=old sensitivity=0.65 deltaMean=0.020 meanExcluded=6.555
form=old sensitivity=0.7 deltaMean=0.028 meanExcluded=6.547
form=old sensitivity=0.75 deltaMean=0.012 meanExcluded=6.563
form=old sensitivity=0.8 deltaMean=0.036 meanExcluded=6.538
form=old sensitivity=0.85 deltaMean=0.044 meanExcluded=6.530
form=old sensitivity=0.9 deltaMean=0.061 meanExcluded=6.514
form=old sensitivity=0.95 deltaMean=0.061 meanExcluded=6.514
form=old sensitivity=1 deltaMean=0.061 meanExcluded=6.514
form=new sensitivity=0 deltaMean=-0.124 meanExcluded=7.053
form=new sensitivity=0.05 deltaMean=-0.133 meanExcluded=7.061
form=new sensitivity=0.1 deltaMean=-0.145 meanExcluded=7.073
form=new sensitivity=0.15 deltaMean=-0.141 meanExcluded=7.069
form=new sensitivity=0.2 deltaMean=-0.161 meanExcluded=7.089
form=new sensitivity=0.25 deltaMean=-0.129 meanExcluded=7.057
form=new sensitivity=0.3 deltaMean=-0.137 meanExcluded=7.065
form=new sensitivity=0.35 deltaMean=-0.149 meanExcluded=7.077
form=new sensitivity=0.4 deltaMean=-0.129 meanExcluded=7.057
form=new sensitivity=0.45 deltaMean=-0.116 meanExcluded=7.045
form=new sensitivity=0.5 deltaMean=-0.108 meanExcluded=7.036
form=new sensitivity=0.55 deltaMean=-0.108 meanExcluded=7.036
form=new sensitivity=0.6 deltaMean=-0.116 meanExcluded=7.045
form=new sensitivity=0.65 deltaMean=-0.100 meanExcluded=7.028
form=new sensitivity=0.7 deltaMean=-0.104 meanExcluded=7.032
form=new sensitivity=0.75 deltaMean=-0.092 meanExcluded=7.020
form=new sensitivity=0.8 deltaMean=-0.044 meanExcluded=6.972
form=new sensitivity=0.85 deltaMean=-0.035 meanExcluded=6.964
form=new sensitivity=0.9 deltaMean=-0.019 meanExcluded=6.947
form=new sensitivity=0.95 deltaMean=-0.019 meanExcluded=6.947
form=new sensitivity=1 deltaMean=-0.019 meanExcluded=6.947
Wrote mlnd_sweep_results.csv
